Number,,Early Career Pay,Mid-Career Pay,,,
2,Agricultural Sciences,55100.00,96500.00,,,
3,Architecture,60000.00,108100.00,,,
4,Area Studies,51500.00,84500.00,,,
5,Visual & Preforming Arts,52900.00,78600.00,,,
6,Business,58000.00,96100.00,,,
7,Communications,56900.00,98100.00,,,
8,Family & Community Services,49700.00,73500.00,,,
9,Computer Science,88400.00,143900.00,,,
10,Mathematics,74900.00,126600.00,,,
11,Education,52200.00,78500.00,,,
12,General Engineering,80000.00,140000.00,,,
13,Engineering Technology,67600.00,113400.00,,,
14,English Language & Literature,54200.00,90200.00,,,
15,Foreign Language,56200.00,92500.00,,,
16,Health Administration,49500.00,80300.00,,,
17,Health Sciences & Technology,52300.00,84300.00,,,
18,Philosophy & Religion,51200.00,95400.00,,,
19,Construction Science,79800.00,125600.00,,,
20,Biology,55300.00,96000.00,,,
21,Law,61600.00,96700.00,,,